sentiment,anger,fear,disgust,happiness,sadness,surprise,cleaned_comment
0.43799999999999994,0.05399999999999997,0.8973333333333334,0.34933333333333333,1.5366666666666664,0.8916666666666666,0.11866666666666663,trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin kerahkan bantuan wilayah terpencil korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin tembus daerah terisolir bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.16249999999999998,0.33916666666666667,0.4489999999999999,0.3096666666666667,0.5485,0.43933333333333335,0.288,tim trauma healing bin bangkitkan semangat mental korban gempa cianjur keren bin binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0854,0.3288,0.645,0.337,0.8324,0.6228,0.29379999999999995,bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.44349999999999995,0.741,0.2665,0.3185,-0.224,0.21950000000000003,0.5565,tim kemanusian bin sisir warga terdampak gempa cianjur hinga desa terisolir binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,terima kasih bin bergerak cepat bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-0.03719999999999999,-0.07340000000000002,0.43179999999999996,-0.32120000000000004,0.304,0.1964,0.02519999999999998,menghilangkan trauma korban gempa cianjur bin menurunkan tim trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,banga tindakan lakukan bin korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
-1.402,0.391,-0.531,0.173,-0.871,-0.478,0.259,bin cepat tangap bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
