Content;Author;Date;Language;Location;Number of Likes;Number of Retweets;In Reply To;Author Name;Author Description;Author Tweets Count;Author Following Count;Author Followers Count;Author Listed Count;Author Verified;Longitude;Latitude
"Menteri Pertahanan Republik Indonesia Prabowo Subianto turun langsung meninjau korban bencana gempa Cianjur di RSUD Sayang dan tenda pengungsi.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@ErmanBenho;17/12/2022 06:41;in;;0;0;;Benho Erman;sabar;4610;1440;550;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@AnandaPut10;17/12/2022 06:41;in;;0;0;;Ananda Putri;langsung follback;5290;1300;570;0;FALSE;;
"Pak Prabowo Turun Langsung Serahkan Bansos Bagi Korban Gempa Cianjur.

@prabowo

dekade08

mendingprabowo

pilpres2024

terusmajubersamaprabowo";@ErmanBenho;17/12/2022 06:41;in;;0;0;;Benho Erman;sabar;4610;1440;550;0;FALSE;;
"Dengan kehadiran BIN dan Disdukcapil, masyarakat bisa memberikan kembali dokumen kependudukan yang hilang.
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama
https://t.co/V71OeXKQNe";@rumaysho_r;17/12/2022 06:40;in;;0;0;;Rasyid Rumaysho;Siapapun diri anda, kita semua punya sesuatu yang istimewa;1590;350;10;0;FALSE;;
"BIN bersama Dukcapil Bangun Posko Pembuatan Dokumen Kependudukan Korban Gempa Cianjur
#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama
https://t.co/V71OeXKQNe";@rumaysho_r;17/12/2022 06:38;in;;0;0;;Rasyid Rumaysho;Siapapun diri anda, kita semua punya sesuatu yang istimewa;1590;350;10;0;FALSE;;
"BIN Sangat Cepat Dan Tanggap Bangun Posko Kemanusiaan Untuk Korban Gempa 
Cianjur

#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama https://t.co/VU6uzpcNCj";@sisigelap404;17/12/2022 06:37;in;;0;0;;Sisi Gelap;;9120;600;220;0;FALSE;;
"BIN Menggelar Pendidikan Agama Islam Untuk Anak2 Korban Gempa Cianjur

#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama https://t.co/vggcHQ7z0O";@sisigelap404;17/12/2022 06:36;in;;0;0;;Sisi Gelap;;9120;600;220;0;FALSE;;
"Pendidikan Trauma Healing Di Lakukan Oleh Oleh BIN Untuk Anak Korban Gempa Cianjur

#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama https://t.co/FwJlRFB1uy";@sisigelap404;17/12/2022 06:36;in;;0;0;;Sisi Gelap;;9120;600;220;0;FALSE;;
"Apresiasi Dengan BIN Melakukan Kegiatan Untuk Menghilangkan Trauma Pada Anak Korban Gempa Cianjur

#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama https://t.co/E1tHspgivp";@sisigelap404;17/12/2022 06:36;in;;0;0;;Sisi Gelap;;9120;600;220;0;FALSE;;
"Penyerahan Bantian Dari Serikat Buruh SPN Kota Bogor Untuk Korban Gempa Cianjur

#BINResponCepatBencanaAlam
#BINPeduliKorbanBencana
#BINTurutBerdukaGempaCianjur
#BINHadirCepatUntukRakyat
#BINPeduliSesama https://t.co/m1DH3sWiRJ";@sisigelap404;17/12/2022 06:36;in;;0;0;;Sisi Gelap;;9120;600;220;0;FALSE;;
