pos,neg,neu,compound,cleaned_comment
0.0,0.318,0.682,-0.4215,info bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,info bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,mensos anak anak yatim piatu korban gempa cianjur cita cita tingi insiden insiden
0.0,0.0,1.0,0.0,bin berupaya lakukan recovery korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin salurkan bantuan korban terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.359,0.641,-0.4215,bin trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin tembus desa terisolir demu salurkan bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin peduli kondisi kesehatan warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.286,0.714,-0.4215,kegiatan trauma healing anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin peduli pengungsi korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin bergerak cepat pulihkan gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin peduli kemanusian korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,ratusan pengungsi korban gempa cianjur posko bantuan bin bantu kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.286,0.714,-0.4215,bin membantu korban gempa cianjur mengalami trauma binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.189,0.811,-0.4215,badan intelijen negara terjunkan tim trauma healing kebangkitan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurgempacianjurgempabumicianjurberduka
0.0,0.0,1.0,0.0,ratusan pengungsi korban gempa cianjur posko bantuan bin bantuan kemanusian binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.0,1.0,0.0,bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.286,0.714,-0.4215,tim trauma healing bin membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.286,0.714,-0.4215,tim trauma healing bin bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,tim traumw healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,mas bukumu masuk diselamatkan pasca gempa cianjur
0.0,0.0,1.0,0.0,bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,tim posko bin bantuan warga terdampak gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,alhamdulilah terimakasih bin udah peduli korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,posko bantuan bin sigap bantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.237,0.763,-0.4215,tim trauma healing bin bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.259,0.741,-0.4215,tim trauma healing bantu anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.286,0.714,-0.4215,bin bantuan tim trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,warga korban gempa cianjur berterima kasih bin sedah bantuan logistikbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
